Salesforce_Field,Oracle_Table,Oracle_Column
External_Id__c,CO_EMPLOYER,CUSTOMER_ID
Registration_Number__c,CO_EMPLOYER,CUSTOMER_ID
ABN__c,CO_EMPLOYER,ABN
ACN__c,CO_EMPLOYER,ACN
Name,CO_EMPLOYER,TRADING_NAME
RegisteredEntityName__c,CO_EMPLOYER,TRADING_NAME
TradingAs__c,CO_EMPLOYER,TRADING_NAME
BillingStreet,CO_ADDRESS,STREET + STREET2
BillingCity,CO_ADDRESS,SUBURB
BillingState,CO_ADDRESS,STATE
BillingPostalCode,CO_ADDRESS,POSTCODE
BillingCountry,CO_ADDRESS,COUNTRY_CODE
IsPostalAddressDifferent__c,CO_CUSTOMER,ADDRESS_ID vs POSTAL_ADDRESS_ID
ShippingStreet,CO_ADDRESS,STREET + STREET2 (postal)
ShippingCity,CO_ADDRESS,SUBURB (postal)
ShippingState,CO_ADDRESS,STATE (postal)
ShippingPostalCode,CO_ADDRESS,POSTCODE (postal)
ShippingCountry,CO_ADDRESS,COUNTRY_CODE (postal)
DateEmploymentCommenced__c,CO_WSR_SERVICE,EMPLOYMENT_START_DATE
Type,CO_EMPLOYER,EMPLOYER_TYPE_CODE
ABNRegistrationDate__c,SQL_SERVER_ABR,ABN Registration - Date of Effect
AccountStatus__c,SQL_SERVER_ABR,ABN Status
OSCACode__c,SQL_SERVER_ABR,Main - Industry Class Code
BusinessEmail__c,CO_CUSTOMER,EMAIL_ADDRESS
NumberOfEmployees,CO_EMPLOYMENT_PERIOD,COUNT(DISTINCT WORKER_ID)
OwnersPerformCoveredWork__c,CO_I_NEW_EMPLOYER_DETAIL,OWNER_PERFORM_TRADEWORK
